County,Total Properties,FEMA Properties at Risk 2020 (total),FEMA Properties at Risk 2020 (pct),FS Properties at Risk 2020 (total),FS Properties at Risk 2020 (pct),FS Properties at Risk 2035 (total),FS Properties at Risk 2035 (pct),FS Properties at Risk 2050 (total),FS Properties at Risk 2050 (pct),"FS-FEMA Difference, 2020 (total)","FS-FEMA Difference, 2020 (pct)",County FIPS,Latitude,Longitude
Baker,14818,925,6.2,5982,40.4,6090,41.1,6197,41.8,5057,546.7,41001,44.70917427,-117.6753635
Benton,37234,3440,9.2,5522,14.8,5662,15.2,5802,15.6,2082,60.5,41003,44.49179904,-123.4292491
Clackamas,165629,4399,2.7,15908,9.6,16442,9.9,16977,10.3,11509,261.6,41005,45.18804536,-122.2208696
Clatsop,35006,4774,13.6,5674,16.2,5874,16.8,6075,17.4,900,18.9,41007,46.01752615,-123.7169992
Columbia,28227,2738,9.7,4983,17.7,5112,18.1,5241,18.6,2245,82,41009,45.94378144,-123.0882557
Coos,44748,4273,9.5,4231,9.5,4340,9.7,4448,9.9,-42,-1,41011,43.18516215,-124.0933188
Crook,17591,1072,6.1,3500,19.9,3542,20.1,3584,20.4,2428,226.5,41013,44.14217984,-120.356581
Curry,20291,1544,7.6,1796,8.9,1825,9,1854,9.1,252,16.3,41015,42.46658066,-124.2152207
Deschutes,101660,1068,1.1,11478,11.3,11679,11.5,11880,11.7,10410,974.7,41017,43.9150098,-121.2281418
Douglas,71381,6656,9.3,13467,18.9,13586,19,13706,19.2,6811,102.3,41019,43.28534624,-123.1795569
Gilliam,3052,56,1.8,523,17.1,527,17.3,531,17.4,467,833.9,41021,45.37826908,-120.2106853
Grant,8009,410,5.1,2134,26.6,2179,27.2,2224,27.8,1724,420.5,41023,44.49150068,-119.0073541
Harney,10976,2820,25.7,1817,16.6,1884,17.2,1950,17.8,-1003,-35.6,41025,43.06408502,-118.9678886
Hood River,11895,85,0.7,1097,9.2,1110,9.3,1124,9.4,1012,1190.6,41027,45.51902793,-121.6510914
Jackson,103948,4445,4.3,16385,15.8,16672,16,16958,16.3,11940,268.6,41029,42.43215589,-122.7285179
Jefferson,13549,549,4.1,1465,10.8,1478,10.9,1491,11,916,166.8,41031,44.62942103,-121.1762374
Josephine,47274,3043,6.4,9914,21,10060,21.3,10205,21.6,6871,225.8,41033,42.36549924,-123.5554977
Klamath,65268,2018,3.1,9241,14.2,9423,14.4,9605,14.7,7223,357.9,41035,42.68640894,-121.650121
Lake,19046,1214,6.4,4507,23.7,4616,24.2,4725,24.8,3293,271.3,41037,42.79346138,-120.3873376
Lane,174032,15296,8.8,35884,20.6,37049,21.3,38214,22,20588,134.6,41039,43.9416929,-122.8762139
Lincoln,47840,5722,12,5090,10.6,5628,11.8,6167,12.9,-632,-11,41041,44.64584363,-123.9076547
Linn,60362,3946,6.5,10103,16.7,10381,17.2,10659,17.7,6157,156,41043,44.48887877,-122.5349951
Malheur,19285,1116,5.8,4466,23.2,4651,24.1,4836,25.1,3350,300.2,41045,43.19347527,-117.6230981
,120257,5637,4.7,18965,15.8,19524,16.2,20084,16.7,13328,236.4,41047,44.90332399,-122.5848983
Morrow,7959,496,6.2,1337,16.8,1350,17,1364,17.1,841,169.6,41049,45.41900454,-119.584275
Multnomah,286305,4596,1.6,30670,10.7,32188,11.2,33705,11.8,26074,567.3,41051,45.54679089,-122.4149228
Polk,35222,2065,5.9,5427,15.4,5519,15.7,5611,15.9,3362,162.8,41053,44.90352172,-123.4132599
Sherman,3056,95,3.1,693,22.7,698,22.8,704,23,598,629.5,41055,45.40525659,-120.6893717
,29705,3573,12,4798,16.2,5310,17.9,5823,19.6,1225,34.3,41057,45.4566725,-123.7586647
,42418,1689,4,7181,16.9,7414,17.5,7648,18,5492,325.2,41059,45.59197719,-118.7367849
Union,14873,605,4.1,4954,33.3,5215,35.1,5476,36.8,4349,718.8,41061,45.31022508,-118.0087776
Wallowa,8669,331,3.8,2027,23.4,2069,23.9,2111,24.4,1696,512.4,41063,45.57986537,-117.18102
Wasco,16125,263,1.6,2343,14.5,2368,14.7,2393,14.8,2080,790.9,41065,45.16002246,-121.1677752
Washington,196213,4107,2.1,9213,4.7,9503,4.8,9793,5,5106,124.3,41067,45.56009084,-123.0983217
Wheeler,2627,157,6,787,30,790,30.1,792,30.1,630,401.3,41069,44.72611888,-120.0275662
Yamhill,42993,2695,6.3,4458,10.4,4546,10.6,4635,10.8,1763,65.4,41071,45.23266712,-123.3081627
