County,Total Properties,FEMA Properties at Risk 2020 (total),FEMA Properties at Risk 2020 (pct),FS Properties at Risk 2020 (total),FS Properties at Risk 2020 (pct),FS Properties at Risk 2035 (total),FS Properties at Risk 2035 (pct),FS Properties at Risk 2050 (total),FS Properties at Risk 2050 (pct),"FS-FEMA Difference, 2020 (total)","FS-FEMA Difference, 2020 (pct)",County FIPS,Latitude,Longitude
Adams,12403,459,3.7,1100,8.9,1125,9.1,1150,9.3,641,139.7,53001,46.98334382,-118.5606331
Asotin,14107,99,0.7,1262,8.9,1293,9.2,1324,9.4,1163,1174.7,53003,46.19180096,-117.203075
Benton,77107,765,1,6830,8.9,7144,9.3,7458,9.7,6065,792.8,53005,46.23986102,-119.5111272
Chelan,46884,3726,7.9,10586,22.6,10737,22.9,10888,23.2,6860,184.1,53007,47.86920712,-120.6189735
Clallam,54690,1753,3.2,8574,15.7,8869,16.2,9164,16.8,6821,389.1,53009,48.11043395,-123.9342976
Clark,176321,2929,1.7,11138,6.3,11622,6.6,12107,6.9,8209,280.3,53011,45.77914457,-122.482578
Columbia,5221,441,8.4,2232,42.8,2258,43.2,2284,43.7,1791,406.1,53013,46.29749828,-117.9078422
Cowlitz,56301,3256,5.8,11407,20.3,11916,21.2,12425,22.1,8151,250.3,53015,46.19321954,-122.6809745
Douglas,28279,268,0.9,3935,13.9,4015,14.2,4095,14.5,3667,1368.3,53017,47.73610893,-119.6917746
Ferry,12601,335,2.7,2126,16.9,2149,17.1,2172,17.2,1791,534.6,53019,48.47014458,-118.5165862
Franklin,32037,288,0.9,3773,11.8,3960,12.4,4147,12.9,3485,1210.1,53021,46.53473085,-118.8988424
Garfield,3762,338,9,1145,30.4,1150,30.6,1156,30.7,807,238.8,53023,46.43155884,-117.5451693
Grant,57236,2200,3.8,6668,11.7,6814,11.9,6960,12.2,4468,203.1,53025,47.20566468,-119.4517617
Grays Harbor,60113,10348,17.2,15709,26.1,16010,26.6,16311,27.1,5361,51.8,53027,47.14440871,-123.8286201
Island,52433,3972,7.6,4851,9.3,4970,9.5,5089,9.7,879,22.1,53029,48.16289707,-122.575263
Jefferson,32048,1671,5.2,3075,9.6,3184,9.9,3292,10.3,1404,84,53031,47.77643664,-123.5764739
King,719427,8782,1.2,48516,6.7,50040,7,51563,7.2,39734,452.4,53033,47.49092321,-121.8359517
Kitsap,125302,4091,3.3,7129,5.7,7402,5.9,7674,6.1,3038,74.3,53035,47.63964662,-122.6491764
Kittitas,36941,2234,6,10319,27.9,10466,28.3,10613,28.7,8085,361.9,53037,47.12426615,-120.6796832
Klickitat,20763,404,1.9,3007,14.5,3042,14.7,3077,14.8,2603,644.3,53039,45.87380545,-120.7892073
Lewis,56187,4930,8.8,13415,23.9,13632,24.3,13849,24.6,8485,172.1,53041,46.57776818,-122.3926383
Lincoln,13935,707,5.1,2057,14.8,2092,15,2128,15.3,1350,190.9,53043,47.57621612,-118.418729
Mason,55239,4708,8.5,7884,14.3,8100,14.7,8315,15.1,3176,67.5,53045,47.35053514,-123.1830098
Okanogan,55073,2241,4.1,11012,20,11176,20.3,11341,20.6,8771,391.4,53047,48.54871365,-119.7408579
Pacific,32961,2892,8.8,7731,23.5,7958,24.1,8185,24.8,4839,167.3,53049,46.55142531,-123.7796674
Pend Oreille,16665,1875,11.3,4426,26.6,4495,27,4564,27.4,2551,136.1,53051,48.53231791,-117.2739985
Pierce,320892,7146,2.2,33500,10.4,34782,10.8,36064,11.2,26354,368.8,53053,47.03760566,-122.1372225
San Juan,17672,645,3.6,693,3.9,708,4,724,4.1,48,7.4,53055,48.56318504,-122.9775048
Skagit,72554,15241,21,15534,21.4,16037,22.1,16540,22.8,293,1.9,53057,48.48207611,-121.8016068
,8150,206,2.5,1705,20.9,1721,21.1,1737,21.3,1499,727.7,53059,46.02299476,-121.9147802
Snohomish,293744,8166,2.8,21258,7.2,22098,7.5,22939,7.8,13092,160.3,53061,48.04609535,-121.7223467
Spokane,210764,2023,1,21121,10,21948,10.4,22774,10.8,19098,944,53063,47.62066432,-117.4039473
Stevens,39993,702,1.8,7354,18.4,7542,18.9,7730,19.3,6652,947.6,53065,48.3990679,-117.8551535
Thurston,118470,3581,3,12599,10.6,13093,11.1,13587,11.5,9018,251.8,53067,46.92962743,-122.8322918
Wahkiakum,4396,831,18.9,1235,28.1,1242,28.3,1250,28.4,404,48.6,53069,46.29113382,-123.4334699
Walla Walla,29302,652,2.2,5911,20.2,6188,21.1,6466,22.1,5259,806.6,53071,46.22984324,-118.4784031
Whatcom,110344,9320,8.4,14122,12.8,14404,13.1,14686,13.3,4802,51.5,53073,48.82961515,-121.8728217
Whitman,16077,1058,6.6,3238,20.1,3338,20.8,3439,21.4,2180,206,53075,46.90120203,-117.5230577
Yakima,112748,6245,5.5,14435,12.8,14795,13.1,15155,13.4,8190,131.1,53077,46.45702651,-120.7384906
